  Equal Weight Returns -- Monthly,,,
Dates,Hi 30,Hi 20,Hi 10
194207,5.7,6.94,8.33
194208,3.46,3.79,4.8
194209,8.15,9.64,15.33
194210,13.53,13.85,14.88
194211,-4.03,-4.52,-7.88
194212,1.54,1.02,0.57
194301,28.03,33.56,43.54
194302,20.57,24.85,33.4
194303,15.74,16.95,16.67
194304,8.15,10.43,12.01
194305,12.53,14.16,16.17
194306,0.85,0.19,-1.59
194307,-7.92,-8.98,-11.07
194308,-0.45,-1.05,-3.42
194309,5.08,5.94,6.26
194310,0.53,-0.99,-0.88
194311,-12.29,-14.28,-17.16
194312,12.78,13.6,14.93
194401,6.45,7.79,8.93
194402,3.43,4.76,5.78
194403,6.47,7.46,8.43
194404,-3.76,-4.07,-5.75
194405,7.42,7.98,7.17
194406,13.01,14.27,16.03
194407,-1.24,-1.35,0.17
194408,2.53,2.05,0.87
194409,0.2,0.12,-0.55
194410,-0.21,-0.06,0.01
194411,3.03,3.03,3.73
194412,11.04,13.65,17.24
194501,4.91,4.84,4.2
194502,10.97,11.74,12.67
194503,-7.16,-7.61,-7.85
194504,9.8,10.79,12.38
194505,4.34,5.22,6.11
194506,7.61,9.85,13.51
194507,-5.09,-5.37,-6.85
194508,4.36,3.39,1.35
194509,6.78,7.23,6.66
194510,7.2,6.98,5.45
194511,11.74,11.63,11.66
194512,2.04,1.67,1.17
194601,11.63,13.13,13.4
194602,-7.14,-7.57,-9.26
194603,4.92,4.04,3.32
194604,5.05,4.85,2.9
194605,6.25,6.61,9.04
194606,-5.13,-4.76,-4
194607,-4.67,-5.2,-7.11
194608,-7.67,-8.33,-9.17
194609,-15.15,-16.57,-19.19
194610,0.22,0.85,1.78
194611,0.63,0.94,0.22
194612,3.66,3.33,1.57
194701,4.08,4.51,5.5
194702,0.3,0.36,0.52
194703,-2.87,-3.05,-4.42
194704,-8.6,-8.8,-10.57
194705,-4.05,-3.89,-4.41
194706,6.21,6.66,7.38
194707,7.71,8.19,8.79
194708,-1.47,-1.82,-2.48
194709,1.64,1.71,1.96
194710,3.07,2.45,1.12
194711,-2.56,-2.49,-2.66
194712,4.08,4.63,7.69
194801,-0.23,0.63,2.16
194802,-6.12,-6.26,-6.35
194803,11.65,11.82,10.8
194804,5.5,6.1,7.69
194805,8.52,8.63,9.03
194806,-0.05,0.85,2.72
