  Equal Weight Returns -- Monthly,,,
Dates,Hi 30,Hi 20,Hi 10
199710,-0.04,0.36,1.25
199711,-0.83,-0.96,-1.14
199712,-1.43,-1.9,-2.83
199801,1.36,2.12,3.14
199802,6.03,5.91,5.95
199803,5.43,5.65,6.41
199804,3.09,3.15,3.75
199805,-2.45,-2.25,-2.15
199806,-3,-3.23,-3.02
199807,-5.07,-4.59,-3.6
199808,-18.11,-18.24,-18.68
199809,1.61,0.89,0.07
199810,1.62,1.08,0.83
199811,7.35,8.22,8.33
199812,2.2,2.11,2.39
199901,7.95,9.13,10.14
199902,-4.06,-3.88,-2.94
199903,-2.81,-2.67,-2.31
199904,9.48,9.3,10.34
199905,4.87,5.23,5.85
199906,3.75,4.26,4.44
199907,1.93,2.56,2.27
199908,-3.27,-3.89,-3.74
199909,-3.47,-3.71,-3.75
199910,-1.81,-2.07,-2.25
199911,7.13,8.11,9.23
199912,5.61,5.04,5.69
200001,7.92,9.63,12.52
200002,12.83,14.07,16.02
200003,0.65,0.65,0.03
200004,-6.7,-7.26,-8.52
200005,-4.73,-5.27,-6.43
200006,5.6,5.58,5.59
200007,0.86,0.6,0.07
200008,4.88,4.94,3.51
200009,-1.62,-2.02,-1.97
200010,-5.25,-5.58,-6.72
200011,-6.61,-7.01,-9.34
200012,0.19,-0.71,-1.97
200101,19.12,20.69,24.57
200102,-0.64,-0.46,-0.22
200103,-2.95,-3.11,-3.2
200104,3.17,3.16,2.7
200105,8.64,8.85,9.81
200106,1.71,1.53,0.91
200107,-0.71,-0.52,-0.32
200108,-2.19,-2,-2.79
200109,-11.58,-12.06,-12.87
200110,5.67,5.38,4.45
200111,7.27,7.22,8.31
200112,5.86,5.97,6.21
200201,6.08,6.58,7.96
200202,-2.14,-2.19,-2.82
200203,8.61,8.64,10.28
200204,3.7,3.59,4.31
200205,0.37,0.94,1.66
200206,-4.74,-5.12,-6.57
200207,-11.07,-11.1,-11.28
200208,0.41,0.49,-0.13
200209,-7.95,-8.29,-9.69
200210,2.62,2.84,3.74
200211,11.8,12.09,13.18
200212,-3.51,-3.4,-5.02
200301,1.52,2.31,2.65
200302,-2.06,-1.89,-1.43
200303,0.86,0.37,0.17
200304,9.07,9.24,9.53
200305,12.76,13.27,15.68
200306,6.11,6.89,8.83
200307,8.4,8.79,9.14
200308,6.12,6.83,7.6
200309,4.99,6.27,6.65
200310,10.59,11.08,11.2
200311,5.06,5.69,6.75
200312,4.8,5.63,6.77
200401,9.43,10.45,12
200402,1.34,1.33,0.67
200403,0.85,1.09,1.62
200404,-3.46,-3.29,-2.91
200405,0.14,0.04,0.47
200406,2.81,2.99,3.24
200407,-4.12,-3.72,-3.56
200408,-1.21,-1.53,-1.75
200409,3.39,3.23,3.38
200410,1.41,1.15,1.49
200411,9.24,9.75,11.91
200412,6,6.58,7.88
200501,-2.24,-1.79,-2.28
200502,1.66,1.68,1.77
200503,-1.42,-1.45,-0.91
200504,-5.39,-5.29,-5.98
200505,3.82,3.67,3.97
200506,4.07,4.23,4.69
200507,5.9,6.05,6.56
200508,-0.36,-0.06,-1.01
200509,0.81,0.78,0.33
200510,-2.6,-2.83,-3.51
200511,3.27,2.94,2.69
200512,1.24,1.35,1.4
200601,6.92,6.94,7.26
200602,0.39,0.84,1.19
200603,4.83,5.19,5.39
200604,1.59,1.75,1.86
200605,-3.27,-3.07,-3.45
200606,-0.09,0.03,-0.05
200607,-2.3,-2.37,-2.84
200608,1.66,1.66,1.46
200609,1.45,1.87,1.9
200610,3.87,3.75,4.2
200611,2.47,2.87,2.33
200612,2.46,2.73,3.27
200701,2.56,3,3.99
200702,0.54,0.86,1.8
200703,-0.35,-0.36,-0.48
200704,1.58,1.61,1.45
200705,1.62,1.39,1.59
200706,-0.43,-0.13,0.43
200707,-5.5,-5.54,-4.6
200708,-2.69,-3.33,-5.23
200709,0.14,-0.2,-0.64
200710,-0.75,-1.31,-0.67
200711,-8.81,-8.99,-10.05
200712,-2.4,-2.63,-2.78
200801,-3.12,-2.94,-2.43
200802,-3.02,-3.1,-3.21
200803,-2.29,-2.48,-2.72
200804,0.85,0.81,0.91
200805,1.85,1.62,1.77
200806,-10.61,-11.07,-9.9
200807,1,0.2,-0.71
200808,3.45,3.75,4.78
200809,-9.4,-9.72,-11.47
200810,-20.25,-21,-25.64
200811,-15.92,-16.96,-17.76
200812,0.9,0.11,-1.9
200901,-6.35,-5.61,-1.95
200902,-13.87,-13.96,-16.38
200903,12.86,13.51,15.18
200904,23.72,24.81,29.27
200905,9.76,10.23,13.79
200906,2.18,3.43,2.98
200907,9.72,9.85,9.83
200908,10.06,11.55,14.53
200909,7.5,8.06,9.7
200910,-7.24,-7.39,-7.9
200911,1.3,1.03,0.52
200912,6.27,6.21,6.3
201001,2.59,4.05,5.89
201002,4.14,4,4.43
201003,8.83,9.62,10.12
201004,11.38,12.48,14.74
201005,-9.14,-9.76,-10.7
201006,-9.65,-10.54,-11.89
201007,4.85,4.45,3.57
201008,-7.18,-7.08,-7.4
201009,8.73,8.28,7.41
201010,3.33,3.4,3.11
201011,1.2,0.86,0.35
201012,8.52,8.82,8.97
201101,3.63,3.92,5.71
201102,4.15,4.19,4.09
201103,-0.22,-0.4,-1.31
201104,0.4,0.12,-0.23
201105,-2.33,-2.31,-2.37
201106,-2.26,-2.56,-2.75
201107,-1.27,-1.37,-1.72
201108,-9.4,-9.12,-9.61
201109,-9.51,-9.27,-9.4
201110,8.99,7.86,5.98
201111,-1.01,-1.41,-2.81
201112,0.86,0.93,1.05
201201,8.22,8.73,9.71
201202,4.65,5.19,5.85
201203,4.22,4.66,6.11
201204,-0.39,-0.18,0.1
201205,-5.32,-4.85,-4.18
201206,3.69,3.63,3.42
201207,-1.24,-1.4,-1.48
201208,2.94,2.73,3.17
201209,3.7,3.75,3.51
201210,-0.22,-0.11,1.15
201211,0.69,0.93,0.62
201212,3.11,2.87,2.43
201301,8.17,8.69,10.54
201302,1.89,1.93,2.88
201303,3.88,3.73,3.29
201304,-0.41,-0.67,-0.4
201305,5.17,5.18,6.38
201306,0.2,0.13,0.19
201307,7.58,7.5,7.54
201308,-2.11,-1.74,-1.05
201309,5.57,5.1,4.96
201310,3.36,3.21,3.02
201311,4.17,4.05,3.59
201312,2.15,2.27,2.43
201401,-0.54,0.03,1.5
201402,4.38,4.32,4.92
201403,1.61,1.93,2.01
201404,-3.25,-3.62,-4.19
201405,-0.23,-0.32,-0.85
201406,3.75,3.72,4.09
201407,-3.79,-3.27,-2.73
201408,3.62,3.43,2.72
201409,-4.61,-4.58,-4.47
201410,1.88,1.24,-0.23
201411,-1.29,-1.36,-0.92
201412,1.74,1.61,1.32
201501,-3.99,-4.12,-3.76
201502,5.09,5.16,5.39
201503,0.22,-0.17,-0.52
201504,1.06,1.67,1.82
201505,-0.44,-0.61,-0.59
201506,-0.37,-0.16,-0.58
201507,-4.86,-5.4,-7.66
201508,-1.98,-1.28,0.64
201509,-4.89,-5.05,-6.76
201510,4.43,4.18,5
201511,1.89,1.59,0.15
201512,-5.34,-5.06,-5.83
201601,-8.06,-8.2,-9.14
201602,-0.48,-0.67,-0.76
201603,8.82,8.98,10.68
201604,5.43,5.86,6.6
201605,-0.3,-0.04,-0.56
201606,1.1,1.76,2.75
201607,6.16,7.17,10.36
201608,3.12,3.12,2.58
201609,1.86,1.88,2.38
201610,-3.72,-4.01,-6.91
201611,12.13,12.36,14.22
201612,3.98,3.44,2.83
201701,1.14,1.55,1.37
201702,0.59,0.03,-1.25
201703,0.06,-0.43,-1.95
201704,-0.35,-0.72,-2.23
201705,-2.76,-2.98,-4.06
201706,3.96,2.99,2.97
201707,0.04,-0.03,-0.61
201708,-2.13,-2.16,-2.34
201709,7.84,7.88,7.57
201710,0.67,1.14,1.34
201711,3.91,4.1,3.5
201712,1.59,2.05,3.06
201801,2.68,2.6,2.54
201802,-3.83,-3.8,-4.54
201803,0.7,0.32,-0.25
201804,1.18,1.32,1.22
201805,3.65,3.68,3.02
201806,0.6,1.15,0.13
201807,0.41,0.28,0.4
201808,1.36,1.73,2.01
201809,-2.4,-2.54,-1.64
201810,-8.79,-8.91,-9.95
201811,-1.37,-2.82,-3.38
201812,-13.28,-13.73,-15.11
201901,12.92,13.64,15.27
201902,4.32,3.78,2.77
201903,-3.01,-2.75,-3.07
201904,2.55,2.04,1.75
201905,-8.88,-8.9,-9.79
201906,3.67,2.57,1.56
201907,-1.46,-1.55,-3.4
201908,-6.47,-7.45,-8.05
201909,5.14,5.57,5.74
201910,-1.35,-1.99,-4.43
201911,2.61,2.13,0.43
201912,7.03,8.08,10.77
202001,-3.72,-3.52,-4.43
202002,-8.15,-8.17,-6.64
202003,-28.15,-29.13,-28.92
202004,21.19,24.13,27.16
202005,5.62,6.97,7.64
202006,8.28,9.03,12.86
202007,3.99,4.79,7.54
202008,3.85,4.75,5.14
202009,-3.2,-2.84,-4.08
202010,3.8,3.17,2.44
202011,22.96,24.86,28.5
202012,9.24,9.49,9.98
202101,17.66,22.5,35.53
202102,12.64,12.77,13.74
202103,5.36,5.47,2.78
202104,2.23,0.53,0.45
202105,5.2,6.2,7.77
202106,2.2,3.84,7.43
202107,-2.73,-2.65,-3.18
202108,2.7,2.77,3.6
202109,0.51,1.09,2.07
202110,2.95,3.12,3.73
202111,-4.06,-3.73,-4.56
202112,2.24,2.56,2.86
202201,-1.48,-0.69,0.49
202202,1.19,1.87,3.9
202203,1.84,1.44,3.37
202204,-6.58,-5.65,-5.18
202205,1.41,1.45,1.43
202206,-8.99,-9.14,-11.54
202207,5.82,5.26,5.52
